country,year,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct
Egypt,2016,475,27,1.4
Egypt,2017,160.9,-12.1,-2.1
Egypt,2018,-8.3,41.7,6.2
Egypt,2019,170.9,66.6,19
Egypt,2020,198.7,5,21.3
Egypt,2021,11.7,5,6.7
Egypt,2022,0.6,7.5,1
Egypt,2023,-1.4,1.5,1.4
Egypt,2024,23.1,2.5,2.3
Egypt,2025,25.4,51.5,20.3
Finland,2000,,,
Finland,2001,,-12.5,-7.9
Finland,2002,,-14.3,-7.9
Finland,2003,,50,-3.9
Finland,2004,,33.3,34.5
Finland,2005,,41.7,-8.5
Finland,2006,,-5.9,-4.3
Finland,2007,,18.8,8.3
Finland,2008,,36.8,14.2
Finland,2009,,7.7,-21.9
Finland,2010,,3.6,11.4
Finland,2011,,65.5,0
Finland,2012,0,2.1,18.1
Finland,2013,0,57.1,-10.3
Finland,2014,0,44.2,2.5
Finland,2015,0,109.9,16.2
Finland,2016,100,31.8,-0.4
Finland,2017,150,56,3.5
Finland,2018,80,21.9,2.1
Finland,2019,66.7,3.1,-0.8
Finland,2020,46.7,37.2,12.7
Finland,2021,36.4,3,6.3
Finland,2022,30,41.2,1.3
Finland,2023,84.6,25.1,9.4
Finland,2024,30.6,36.2,9
Finland,2025,4.3,10.3,0.8
France,2000,,,
France,2001,0,160,12.2
France,2002,0,107.7,-17.6
France,2003,0,44.4,-1.9
France,2004,0,51.3,1.5
France,2005,0,62.7,-11.9
France,2006,0,127.1,10.8
France,2007,100,86.7,5.6
France,2008,100,39.8,12.5
France,2009,325,39,-5.8
France,2010,264.7,25.7,12.5
France,2011,275.8,24.4,-13.9
France,2012,90.1,22.7,29.1
France,2013,17.2,6.3,16.6
France,2014,23.1,7.3,-5.4
France,2015,21.3,23.7,-2.3
France,2016,11.7,-0.2,7.8
France,2017,2.4,15.1,-7.2
France,2018,25.7,16.2,23.9
France,2019,7.8,21.4,-0.8
France,2020,8.9,15.4,10.7
France,2021,16.7,-7.3,-2.3
France,2022,26.6,2.9,-7.1
France,2023,16.8,32.1,23
France,2024,10.1,-10,9.4
France,2025,27.9,2.3,-2.7
Germany,2000,,,
Germany,2001,,11.9,7
Germany,2002,100,51.6,17.4
Germany,2003,55,20.4,4.9
Germany,2004,80.6,36.3,24.2
Germany,2005,133.9,6.7,9.4
Germany,2006,73.3,12.8,14.4
Germany,2007,38.3,29.3,23.3
Germany,2008,43.6,2.1,5.5
Germany,2009,49,-4.7,1.8
Germany,2010,78,-2.2,9.7
Germany,2011,67.1,29.3,18
Germany,2012,33.8,3.7,15.2
Germany,2013,14.5,2.1,6
Germany,2014,15.8,10.9,6.6
Germany,2015,7.4,37.8,16.2
Germany,2016,-1.4,-0.9,0.5
Germany,2017,3.2,32.2,14
Germany,2018,14.3,4,3.4
Germany,2019,2,14.5,8.2
Germany,2020,9.5,4.9,4.3
Germany,2021,-0.3,-13.6,-7.6
Germany,2022,22.2,9.3,8.2
Germany,2023,5.9,12.6,10.2
Germany,2024,16.1,0.8,5
Germany,2025,20.9,-3.9,1.7
India,2000,,,
India,2001,0,32.3,-5.1
